Image,Method,MSE,PSNR (dB),SSIM,Entropy,RMS Contrast,AMBE,SNR,CNR,EPI
16_Morozov_study_0003_24,AGCWD,6186.2380,10.2165,0.5132,5.6956,68.4110,58.1771,1.2519,0.6280,6.9367
16_Morozov_study_0003_24,CLAHE,220.4744,24.6972,0.7942,5.3712,24.3722,11.6895,1.6065,0.5337,1.8148
6_Rahimzadeh_normal2_patient29,AGCWD,3965.9656,12.1473,0.6041,6.4678,76.2694,41.1371,0.9090,0.3387,1.5567
6_Rahimzadeh_normal2_patient29,CLAHE,544.0497,20.7744,0.6715,6.4796,42.7591,17.5772,1.0704,0.2410,0.8185
6_Rahimzadeh_normal2_patient30,AGCWD,5458.7445,10.7599,0.5514,6.8318,76.0760,55.6018,1.2349,0.0330,1.6050
6_Rahimzadeh_normal2_patient30,CLAHE,522.1395,20.9529,0.6647,6.7377,39.4849,16.9166,1.3996,0.1777,0.6980
6_Rahimzadeh_normal2_patient32,AGCWD,3457.4279,12.7433,0.6954,6.4926,88.3743,40.6592,0.9888,0.4948,1.2600
6_Rahimzadeh_normal2_patient32,CLAHE,441.2044,21.6844,0.6806,6.7884,56.6442,15.6371,1.1009,0.4781,0.7574
cap019_115,AGCWD,2784.3690,13.6835,0.7923,6.2086,90.9629,35.8403,0.9417,0.3854,1.3470
cap019_115,CLAHE,395.2570,22.1620,0.7509,6.7481,63.1666,14.2063,1.0136,0.4063,0.9790
cp026_96,AGCWD,3057.8221,13.2767,0.7555,5.0533,82.5294,31.3431,0.7015,1.3024,1.8536
cp026_96,CLAHE,376.3844,22.3745,0.6531,5.3528,49.9146,12.9027,0.7904,1.4335,0.9381
