Image,Method,MSE,PSNR (dB),SSIM,Entropy,RMS Contrast,AMBE,SNR,CNR,EPI,HW-SW Correlation,HW-SW MSE
16_Morozov_study_0003_24,Software,6186.2380,10.2165,0.5132,5.6956,68.4110,58.1771,1.2519,0.6280,6.9367,0.9405,2976.04
16_Morozov_study_0003_24,Hardware,982.3710,18.2080,0.6437,3.7988,23.3787,30.6486,2.4857,0.6402,1.4492,0.9405,2976.04
6_Rahimzadeh_normal2_patient29,Software,3965.9656,12.1473,0.6041,6.4678,76.2694,41.1371,0.9090,0.3387,1.5567,0.9854,1443.85
6_Rahimzadeh_normal2_patient29,Hardware,1089.0269,17.7604,0.5796,5.5868,40.9546,30.8763,1.4423,0.2989,1.3899,0.9854,1443.85
6_Rahimzadeh_normal2_patient30,Software,5458.7445,10.7599,0.5514,6.8318,76.0760,55.6018,1.2349,0.0330,1.6050,0.9809,1875.04
6_Rahimzadeh_normal2_patient30,Hardware,1348.3714,16.8327,0.6715,5.8655,39.5550,34.9478,1.8529,0.0081,1.3952,0.9809,1875.04
6_Rahimzadeh_normal2_patient32,Software,3457.4279,12.7433,0.6954,6.4926,88.3743,40.6592,0.9888,0.4948,1.2600,0.9924,632.72
6_Rahimzadeh_normal2_patient32,Hardware,1792.5677,15.5960,0.6445,6.1025,65.1523,38.1323,1.3024,0.4776,1.3840,0.9924,632.72
cap019_115,Software,2784.3690,13.6835,0.7923,6.2086,90.9629,35.8403,0.9417,0.3854,1.3470,0.9956,372.67
cap019_115,Hardware,1956.9550,15.2150,0.6041,5.9972,73.5600,39.1391,1.2093,0.3657,1.3737,0.9956,372.67
cp026_96,Software,3057.8221,13.2767,0.7555,5.0533,82.5294,31.3431,0.7015,1.3024,1.8536,0.9953,963.04
cp026_96,Hardware,1135.8480,17.5776,0.4204,4.7525,52.1824,30.2425,1.0884,1.2897,1.3651,0.9953,963.04
